                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    117,                0.62577,                0.42247,                 1.0402,                0.82302,                 0.8646,                0.90295,                0.69704,                0.92825,                0.57883,                 1.2794,             0.00044068,             0.00044068,             0.00044068
                    118,                0.61568,                0.42765,                 1.0298,                0.85567,                0.81532,                0.88621,                0.66925,                0.94331,                0.60166,                 1.3023,             0.00043832,             0.00043832,             0.00043832
                    119,                0.58661,                0.41829,                 1.0412,                0.90603,                0.76652,                0.88002,                0.67186,                0.93478,                0.59881,                 1.3004,             0.00043597,             0.00043597,             0.00043597
                    120,                0.61543,                 0.4225,                 1.0259,                0.87026,                0.81518,                0.88583,                0.67715,                0.91812,                0.58725,                 1.2704,             0.00043361,             0.00043361,             0.00043361
                    121,                0.57359,                0.40849,                 1.0261,                 0.8618,                0.82459,                0.89594,                0.69364,                0.91808,                  0.577,                 1.2998,             0.00043126,             0.00043126,             0.00043126
                    122,                0.58725,                0.40584,                 1.0329,                0.83851,                0.82363,                0.88914,                0.68911,                0.91968,                0.58683,                 1.2813,              0.0004289,              0.0004289,              0.0004289
                    123,                0.60048,                0.41793,                 1.0271,                0.83847,                 0.7834,                0.85972,                0.65519,                 0.9306,                0.63585,                 1.3099,             0.00042654,             0.00042654,             0.00042654
                    124,                0.59836,                0.41194,                 1.0163,                0.86692,                0.81916,                0.89284,                0.67899,                0.93682,                0.60325,                 1.2896,             0.00042419,             0.00042419,             0.00042419
                    125,                0.62397,                0.43026,                 1.0412,                 0.8459,                0.84958,                0.89742,                0.69264,                0.92876,                 0.5848,                 1.2928,             0.00042183,             0.00042183,             0.00042183
                    126,                0.59826,                0.39019,                 1.0268,                0.87229,                0.81691,                0.89847,                0.68727,                0.92131,                0.61378,                  1.275,             0.00041947,             0.00041947,             0.00041947
                    127,                0.59482,                0.40304,                 1.0254,                0.86726,                0.85333,                 0.8962,                 0.6836,                0.94342,                0.57421,                 1.2986,             0.00041712,             0.00041712,             0.00041712
                    128,                0.58691,                0.39828,                 1.0161,                0.88761,                0.79504,                0.89379,                0.67623,                0.94844,                0.63351,                 1.2992,             0.00041476,             0.00041476,             0.00041476
                    129,                0.58298,                 0.4136,                 1.0311,                 0.8745,                0.83556,                0.90425,                0.68299,                0.95215,                0.57475,                 1.3111,             0.00041241,             0.00041241,             0.00041241
                    130,                0.56565,                0.39539,                 1.0266,                0.85667,                0.83313,                0.89017,                0.67704,                0.93937,                0.60321,                 1.3133,             0.00041005,             0.00041005,             0.00041005
                    131,                 0.5916,                0.39957,                 1.0233,                0.88389,                 0.8222,                0.88915,                0.68716,                0.92376,                0.58006,                 1.3013,             0.00040769,             0.00040769,             0.00040769
                    132,                0.56902,                0.39528,                 1.0332,                0.88397,                0.77778,                0.88042,                0.68059,                0.92444,                0.61092,                 1.2875,             0.00040534,             0.00040534,             0.00040534
                    133,                0.59614,                0.41229,                 1.0392,                0.86508,                0.80515,                 0.8794,                0.67622,                0.92724,                0.59158,                 1.2962,             0.00040298,             0.00040298,             0.00040298
                    134,                0.59303,                0.39143,                 1.0298,                0.83125,                0.85152,                0.89617,                0.68547,                 0.9207,                0.56932,                  1.286,             0.00040063,             0.00040063,             0.00040063
                    135,                0.56556,                 0.3805,                 1.0123,                 0.8643,                0.81898,                0.88687,                0.68424,                0.92508,                0.58858,                 1.2963,             0.00039827,             0.00039827,             0.00039827
